text	label
니애비 ㅋㅋㅋ	1
불태워 ㅋㅋㅋ	1
인㈂로 ㉳져버리변 ㅇㅓㄹ마나 재밌ㄱㅔ	1
개년 새끼야	1
된장녀이라서 그런가	1
전라도 놈 냄새	1
백린탄 처럼	1
경상디언 특징	1
딱 자‥살해	1
역시 ㈈녀	1
정신병자 아웃	1
멍청㈈ 수즤ㅜㄴ	1
꼰대이라서 그런가	1
죽여버려 아웃	1
썅 ㅋㅋㅋ	1
니은ㅑㅁ자가 다 그♣리을어ㅎ㉦ ㉨	1
븅신 ㅋㅋㅋ	1
김치녀¸이라서 그㈊가	1
역시 여시국	1
ㄳ비읍	1
애ㄳㅏ끼 냄㈒	1
㉳ㅅㅣㄴ	1
진짜 엿먹어네	1
불법체류자 ㅋㅋㅋ	1
ㅇㅕㄱ시 인디귿우로 지져	1
한㉯ ㄴ애ㅁ새	1
일본 가서 살아라	1
「닥쳐」	1
이 쓰레기	1
급식충 답네	1
딱 인두로 지져	1
젊은것들 처ㄹㅓㅁ	1
걸린 적은 ㉭다고 해야지	1
좆같㉬ 새ㄲㅣㅇㅑ	1
이게 급식충이지	1
여적여이라서 그런가	1
진ㅉㅏ 닥ㅊㅕ네	1
백린탄이라서 그런가	1
이게 정신병자이지	1
훅㈉ 답네	1
㈍으로 쏴ㅇㅣ라서 그런가	1
아 미친놈	1
딱 ㅂㅐㄱ린탄	1
여판사 처럼	1
박살ㄴ애 같은	1
총으로 쏴 처럼	1
난민 형님들 한국에 꺼져	1
진짜 맘충	1
조선죽 ㄱㅏ라	1
딱 또라ㅇㅣ	1
전✩라♡디언 처럼	1
역시 한남	1
딱 정ㄳㅣㄴ나간	1
ㅅㅂ ㅋㅋㅋ	1
역시 젊은것。들	1
한남 특징	1
박살내 같은	1
진ㅉ아 엿口ㅓㄱ어…네	1
박살내 처럼	1
전라도 수준	1
야 좆같은 뭐하냐	1
남자ㄱㅏ 왜 ㉱어	1
멍청이 수준	1
야 개ㅅㅐㄲㅣ 뭐하냐	1
김치녀 같은	1
남적남 스✧럽다	1
틀딱 스럽다	1
맘충 특징「	1
갈아버ㄹㅕ 꺼져	1
김치녀이라서 그런가	1
또라이 스럽다	1
두고보자	1
경상도 놈이라서 그런가	1
8ㅅ	1
쪽바리 수준	1
역시 재기해	1
㈂크 ㈋릉▽부릉	1
㈁시 정ㅅㅣㄴ병ㅈㅏ	1
한대 쳐맞아야 정신차리지	1
병신 수준	1
박살ㄴㅐ㉤라서 그런가	1
여적여 스럽다	1
586충 답네	1
꼰대◆ 처럼	1
진짜 ㅅㅂ네	1
짱㈃ 답네	1
때려죽여 처럼	1
갈아★버려♢ ㈄네	1
이게 바보이지	1
정신나간이라서 그런가	1
이게 ㉳형이지	1
이게 ㅁㄱㅁ쭝이지	1
틀딱충이라서 그런가	1
ㅎㅗㅇ어 냄새	1
지체장애 답네	1
뚀라이 특징	1
진짜 머저리	1
ㅈㅣㄴ짜 586충	1
딱 급식이	1
역시 ㈋크 ㈊릉㉥릉	1
급【식충 ㈃새	1
역시 장애인 새끼	1
㈁인네 ㈀럽다	1
전라디언 같은	1
한녀 꺼져	1
ㅈㅓㅇ신병자 ㈏네	1
지랄 진짜	1
니애미 진짜	1
불ㅂㅓㅂㅊㅔ류자 아웃	1
㉲ㅇㅓ	1
진짜 개새끼네	1
정신병ㅈㅏ 냄새	1
이㉪ 경상디㈎이지	1
장애인 주차구역에 왜 저런애가	1
